"ID","Title","Organisation ID","Organisation Name","Organisation Profile","Posted By - Name","Posted By - Profile","Short description","Location","Remote work allowed","Benefits","Workplace type","Description","Seniority level","Under 10 applications","Job functions","Date posted","Date expires","Industry","Source domain","Easy apply","Job type","Industry","Link"
"1290196722","Data Engineer","b3JnOjM2NDM1MTg=","BSG","https://www.linkedin.com/company/bsg/life","","","-","Johannesburg Metropolitan Area (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/1290196722"
"4250598493","Senior Data Engineer","b3JnOjM0NjEwODk=","MOYO","https://www.linkedin.com/company/moyo-business-advisory/life","","","-","Pretoria, Gauteng, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4250598493"
"4246154097","Associate Linux Support Engineer","b3JnOjEyMzYxOA==","Canonical","https://www.linkedin.com/company/canonical/life","","","-","Cape Town, Western Cape, South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4246154097"
"4249012148","Senior Data Engineer","b3JnOjI3NzYyMjU=","Harambee Youth Employment Accelerator","https://www.linkedin.com/company/harambee-youth-employment-accelerator/life","","","-","City of Johannesburg, Gauteng, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4249012148"
"4249643050","Senior Platform Engineer","b3JnOjU2MjY2Nzgy","Potentiam Ltd","https://www.linkedin.com/company/potentiam-ltd/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4249643050"
"4228160503","DevOps Specialist","b3JnOjE4NjUxOA==","Ultima","https://www.linkedin.com/company/ultima-business-solutions/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4228160503"
"4247992962","Senior Data Engineer","b3JnOjE4NDM3Mzc=","KingMakers","https://www.linkedin.com/company/whereafricaplays/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4247992962"
"4087451897","Business Intelligence Developer","b3JnOjEzMjMzNw==","DigiOutsource","https://www.linkedin.com/company/digioutsource/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4087451897"
"4247968390","Senior Cloud Data Engineer","b3JnOjQxMjE2MDM2NA==","Media24 TMD magazines","https://www.linkedin.com/company/media24-tmd-magazines/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4247968390"
"4249901793","Application Developer","b3JnOjE1ODI0NA==","Gen Re","https://www.linkedin.com/company/gen-re/life","","","-","City of Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4249901793"
